shard_location,metal_name,transaction_count,total_quantity,average_price
Los Angeles,Silver,1,500.00,25.5000000000000000
New York,Silver Alloy,1,100.00,20.0000000000000000
New York,Palladium,1,3.00,2300.0000000000000000
Los Angeles,Rhodium,1,2.00,15000.0000000000000000
Chicago,Gold Alloy,1,20.00,1200.0000000000000000
Los Angeles,Ruthenium,1,8.00,500.0000000000000000
Chicago,Iridium,1,1.00,4000.0000000000000000
New York,Osmium,1,0.50,10000.0000000000000000
New York,Gold,1,10.00,1800.0000000000000000
Chicago,Platinum,1,5.00,950.0000000000000000
