site_name,region,industry_type,avg_emission,avg_measurement,emission_to_quality_ratio
River Bend,North,Chemical,150.5000000000000000,7.0000000000000000,21.5000000000000000
Lakeview,East,Metallurgical,200.7500000000000000,15.0000000000000000,13.3833333333333333
Green Meadows,South,Plastics,175.2500000000000000,2.5000000000000000,70.1000000000000000
Oak Hollow,West,Chemical,210.0000000000000000,7.2000000000000000,29.1666666666666667
Willow Creek,Central,Manufacturing,160.0000000000000000,20.0000000000000000,8.0000000000000000
Sunnyvale,Central,Electronics,125.0000000000000000,6.8000000000000000,18.3823529411764706
Cedar Grove,East,Food Processing,80.0000000000000000,3.0000000000000000,26.6666666666666667
Highland Creek,West,Oil,300.0000000000000000,10.0000000000000000,30.0000000000000000
Pine Ridge,North,Metallurgical,400.0000000000000000,18.0000000000000000,22.2222222222222222
Maple Falls,South,Textile,90.0000000000000000,12.0000000000000000,7.5000000000000000
