supplier_name,product_name,total_quantity_shipped,first_shipment_date,last_shipment_date
Beta Fabrics,Denim Jeans,200,2025-02-02,2025-02-02
Epsilon Materials,Linen Pants,180,2025-02-05,2025-02-05
Theta Weaves,Silk Blouse,160,2025-02-08,2025-02-08
Gamma Cloth,Silk Scarf,150,2025-02-03,2025-02-03
Eta Textiles,Cotton T-Shirt,140,2025-02-07,2025-02-07
Zeta Fibers,Polyester Jacket,130,2025-02-06,2025-02-06
Delta Weaves,Wool Sweater,120,2025-02-04,2025-02-04
Iota Fabrics,Denim Jacket,110,2025-02-09,2025-02-09
Alpha Textiles,Cotton Shirt,100,2025-02-01,2025-02-01
Kappa Cloth,Wool Coat,90,2025-02-10,2025-02-10
