"Sales Data by City, Category, and Month"
city,category,order_month,total_quantity_sold,total_sales_value,current_inventory
Philadelphia,Accessory,2025-02-01 00:00:00+05:30,3,44.97,180
Chicago,Pants,2025-01-01 00:00:00+05:30,1,39.99,120
Phoenix,Shoes,2025-02-01 00:00:00+05:30,2,119.98,270
San Diego,Shirt,2025-02-01 00:00:00+05:30,2,59.98,110
Houston,Outerwear,2025-02-01 00:00:00+05:30,1,99.99,60
Los Angeles,Dress,2025-01-01 00:00:00+05:30,1,49.99,80
San Antonio,Shorts,2025-02-01 00:00:00+05:30,1,24.99,140
New York,T-Shirt,2025-01-01 00:00:00+05:30,2,39.98,150
Dallas,Shoes,2025-02-01 00:00:00+05:30,1,79.99,270
San Jose,Skirt,2025-02-01 00:00:00+05:30,1,34.99,90

Sales Performance by Age Group
age_group,total_orders,total_quantity_sold,total_sales_value,avg_order_value
GenZ,2,2,74.98,37.49
Millennials,8,13,519.87,64.98

