campaign_id,campaign_name,total_interactions,unique_supporters,avg_engagement,high_engagement_count,high_engagement_percentage
1,Save the Forests,1,1,5.00,1,100.00
2,Clean the Oceans,1,1,3.00,0,0.00
3,Renewable Energy Initiative,1,1,4.00,1,100.00
4,Wildlife Protection,1,1,2.00,0,0.00
5,Urban Green Spaces,1,1,4.00,1,100.00
6,Zero Waste Campaign,1,1,5.00,1,100.00
7,Climate Action Now,1,1,3.00,0,0.00
8,Green Transportation,1,1,4.00,1,100.00
9,Eco-Friendly Practices,1,1,2.00,0,0.00
10,Sustainable Agriculture,1,1,5.00,1,100.00
