site_id,site_name,measurement_date,avg_moisture,avg_temperature,irrigation_count,total_water_volume
1,Green Valley Farm,2025-02-26,28.5000000000000000,18.2000000000000000,1,150.00
2,Sunrise Orchards,2025-02-26,35.0000000000000000,20.1000000000000000,1,200.00
3,River Bend Farm,2025-02-26,22.7000000000000000,19.8000000000000000,1,100.00
4,Maple Grove,2025-02-26,30.1000000000000000,17.5000000000000000,1,180.00
5,Blueberry Hill,2025-02-26,40.3000000000000000,21.0000000000000000,1,210.00
6,Golden Fields,2025-02-26,25.0000000000000000,16.8000000000000000,1,130.00
7,Clover Farm,2025-02-26,33.2000000000000000,18.0000000000000000,1,220.00
8,Red Barn Ranch,2025-02-26,29.9000000000000000,17.2000000000000000,1,150.00
9,Sunny Acres,2025-02-26,27.5000000000000000,16.5000000000000000,1,190.00
10,Harvest Moon,2025-02-26,31.0000000000000000,18.3000000000000000,1,205.00
