supplier_id,supplier_name,total_contracts,active_contracts,first_contract_date,latest_contract_date,avg_encryption_delay_hours
9,Iota Styles,1,0,2023-09-25,2023-09-25,13.0833333333333333
3,Gamma Garments,1,1,2023-03-10,2023-03-10,9.7500000000000000
5,Epsilon Apparel,1,1,2023-05-22,2023-05-22,8.3333333333333333
4,Delta Designers,1,0,2023-04-05,2023-04-05,14.5000000000000000
10,Kappa Couture,1,1,2023-10-10,2023-10-10,15.9166666666666667
6,Zeta Clothing,1,0,2023-06-18,2023-06-18,12.1666666666666667
2,Beta Textiles,1,0,2023-02-20,2023-02-20,11.2500000000000000
7,Eta Fashions,1,1,2023-07-30,2023-07-30,16.6666666666666667
1,Alpha Fabrics,1,0,2023-01-15,2023-01-15,10.0000000000000000
8,Theta Trends,1,1,2023-08-12,2023-08-12,7.8333333333333333
