Workshop ID,Title,Location,Date,Organizer,Avg Rating,Total Feedbacks
8,Affordable Housing Forum,"Denver, CO",2025-02-10,Housing Commission,5.00,1
10,Climate Action Meeting,"Portland, OR",2025-01-28,Environmental Council,5.00,1
6,Healthcare Outreach,"Los Angeles, CA",2025-02-02,Health Advocates,5.00,1
3,Green Energy Summit,"Austin, TX",2025-02-05,Sustainable Future Org,5.00,1
1,Urban Development Forum,"New York, NY",2025-02-01,City Planning Dept,5.00,1
2,Tech for Good,"San Francisco, CA",2025-01-20,Innovation Hub,4.00,1
9,Digital Inclusion Program,"Atlanta, GA",2025-01-18,Tech Access Initiative,4.00,1
5,Education Reform Panel,"Boston, MA",2025-01-30,Education Board,4.00,1
4,Community Safety Talks,"Chicago, IL",2025-01-15,Local Government,3.00,1
7,Public Transport Upgrade,"Seattle, WA",2025-01-25,Transit Authority,3.00,1
